ID,Z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,lgOH_MEDIAN_T04,logMstar_S16,logSFR_SED_S16
613732,0.0427392,17.85185,16.661734,16.102169,15.758885,15.544541,9.169809,10.135,0.245
645045,0.0346517,16.623014,15.35604,14.858494,14.557337,14.527598,9.169804,10.444,0.349
605061,0.0314548,17.276712,15.621834,14.879538,14.532834,14.4733305,9.168946,10.563,-0.08
592998,0.0330788,17.69926,16.273851,15.569744,15.207601,14.963075,9.168921,10.158,0.41
106343,0.0391808,17.744055,16.322922,15.659259,15.318306,15.047345,9.168604,10.35,0.082
104391,0.0255523,17.579187,15.818406,15.074087,14.654078,14.4223385,9.168572,10.331,0.302
119502,0.0474698,18.285675,17.030022,16.335428,15.975423,15.791679,9.168458,10.179,-0.065
150854,0.0484957,17.495474,15.797196,15.020365,14.622625,14.383185,9.168412,10.892,0.353
828485,0.022665,17.270845,15.781091,15.110162,14.789413,14.542064,9.168107,10.009,-0.16
586862,0.0250991,17.225325,15.805195,15.195317,14.888482,14.691652,9.167311,10.111,-0.237
266785,0.0330957,16.20778,15.144827,14.74235,14.503114,14.4925375,9.1669235,10.301,0.47
639250,0.0349561,17.126438,15.7788,15.130615,14.766939,14.503457,9.1668825,10.549,0.575
895645,0.0349598,17.054752,15.644213,14.992147,14.634031,14.414783,9.1666355,10.549,0.178
129854,0.0359262,18.021866,16.576164,15.856505,15.455202,15.1779175,9.16658,10.277,-0.027
603854,0.0315901,16.630238,14.964196,14.201596,13.8176155,13.519301,9.166462,11.081,0.351
156129,0.0316522,16.874294,15.444928,14.697401,14.287835,13.992755,9.166398,10.847,0.61
602369,0.0482014,17.14613,15.904809,15.304181,14.940428,14.74585,9.166247,10.717,0.961
305182,0.046406,16.989206,15.68654,15.076381,14.703265,14.508712,9.166224,10.68,0.492
917236,0.0482314,17.657156,16.314249,15.677667,15.312613,15.037706,9.166217,10.627,0.595
785827,0.0162554,15.623904,13.873016,13.372584,13.188808,13.455427,9.166053,10.361,0.1
108745,0.0490824,17.548824,16.113293,15.357137,14.942037,14.666492,9.165915,10.75,0.447
646048,0.0373841,16.448748,15.030251,14.480445,14.173218,14.049216,9.1659,10.946,0.824
899894,0.0481102,18.237085,16.839825,16.125065,15.726763,15.497191,9.165862,10.466,0.484
133926,0.026849,16.515234,15.285658,14.791947,14.517826,14.330305,9.165827,10.273,0.196
638965,0.0461764,17.297709,16.090721,15.557319,15.277052,15.038314,9.165826,10.511,0.313
647134,0.0365165,17.417635,16.115509,15.584302,15.275753,14.987867,9.165701,10.285,-0.079
771144,0.0325007,16.925474,15.397673,14.676574,14.298632,14.1145115,9.165446,10.682,0.114
768533,0.0489018,17.305212,16.095955,15.541895,15.21688,15.102023,9.165394,10.559,0.561
757355,0.0451919,17.289743,15.947893,15.274485,14.902575,14.668482,9.165373,10.743,0.668
589826,0.028919,16.826317,15.067567,14.387489,14.015198,13.838934,9.164668,10.695,-0.015
788193,0.0210298,16.074467,14.2092085,13.714353,13.480457,13.861464,9.164588,10.692,0.266
893556,0.0471421,16.335949,15.037756,14.441444,14.088859,13.853984,9.164483,10.981,0.549
830480,0.0475551,16.984385,15.764199,15.333907,15.1092825,14.988775,9.16448,10.544,0.662
646326,0.0454751,17.39617,16.033869,15.440837,15.116726,14.8948,9.164395,10.623,0.219
121696,0.038961,16.802124,15.361401,14.794913,14.470879,14.247618,9.164224,10.776,0.461
836507,0.0489465,16.95394,15.548913,14.88013,14.562502,14.404555,9.164208,10.891,0.379
675906,0.0426106,18.269348,16.028826,15.237835,14.841485,14.638678,9.164201,9.909,-1.424
266064,0.0484063,18.101768,16.961456,16.408863,16.049526,15.894797,9.1635685,10.097,0.62
591915,0.0340023,16.236399,14.868229,14.321113,14.0075245,13.920926,9.163388,10.798,0.431
761706,0.0304457,17.115139,15.680778,15.001788,14.6352215,14.368854,9.163385,10.533,0.445
720024,0.0367568,17.15706,15.573159,14.878088,14.5484705,14.392864,9.163344,10.788,0.055
845418,0.0346499,17.448332,16.127186,15.410958,15.036304,14.71561,9.163339,10.454,0.224
266315,0.0384413,16.584658,15.016302,14.453229,14.130402,14.001052,9.163203,10.873,0.663
12877,0.0194294,17.023153,15.539626,14.758822,14.357339,14.047624,9.163075,10.233,-0.18
849344,0.04176,16.512043,15.388984,14.931479,14.604188,14.406281,9.1630535,10.654,0.646
716897,0.0247401,16.422329,15.196381,14.632979,14.332377,14.111836,9.162884,10.263,0.031
104504,0.0398604,17.749659,15.901786,15.028567,14.591452,14.271657,9.1626835,10.838,-0.493
587637,0.0247806,16.043682,14.612305,14.007895,13.674524,13.566618,9.162636,10.701,0.101
789431,0.0370243,18.013203,16.474089,15.743407,15.374694,15.088074,9.162613,10.247,-0.126
606129,0.0376172,18.082312,16.411556,15.6548195,15.286158,15.040567,9.162562,10.392,0.212
590127,0.0448681,17.722317,16.421059,15.778395,15.4244995,15.181557,9.162514,10.439,0.035
540205,0.0475754,17.911343,16.412064,15.771078,15.443906,15.42887,9.162178,10.557,0.341
592819,0.0344812,17.43761,15.729464,15.18047,14.936202,15.309254,9.161709,10.452,0.157
648418,0.0389961,17.502632,16.041098,15.386583,15.016106,14.799313,9.161171,10.566,0.209
122394,0.0254276,16.4106,14.879711,14.172663,13.812746,13.571075,9.161054,10.683,0.254
592850,0.0348066,17.577953,16.318777,15.763952,15.514888,15.347786,9.160912,10.125,-0.132
608739,0.0367558,17.125463,15.587823,14.9711275,14.585442,14.490188,9.160796,10.679,0.169
273755,0.0204569,15.820158,14.3220825,13.637754,13.303938,13.144421,9.160608,10.608,-0.072
781333,0.0228788,16.127409,14.288801,13.488413,13.075625,12.830946,9.160484,10.946,-0.059
767338,0.0346768,16.220852,14.892408,14.336106,14.006624,13.796394,9.160239,10.777,0.415
625946,0.0451216,17.1859,15.615527,14.903013,14.494021,14.26701,9.159576,11.057,1.023
617617,0.0240362,19.432135,18.007849,17.38143,17.072218,16.79557,9.159342,9.049,-0.874
637538,0.0353569,16.941666,15.512478,14.8894205,14.554652,14.4168825,9.159137,10.577,0.096
769761,0.0490562,17.23232,15.73634,15.066225,14.696482,14.515213,9.159057,10.975,0.872
593490,0.0357399,18.314644,16.802938,16.175198,15.841443,15.59688,9.158911,9.919,-0.182
6918,0.0386977,17.178358,15.724375,15.094544,14.763877,14.6119585,9.158518,10.778,0.166
566326,0.0422537,17.2923,15.8108835,15.033158,14.617847,14.334481,9.158194,10.842,0.487
865184,0.0254207,15.799914,14.586501,13.987873,13.669431,13.477505,9.157483,10.584,0.26
604799,0.0318748,18.104797,16.378078,15.643011,15.293656,15.086452,9.156985,10.34,-0.103
629921,0.0406737,16.659203,15.384676,14.778604,14.442538,14.289168,9.156769,10.692,0.287
28575,0.042577,19.054161,17.602007,16.785566,16.349333,16.048708,9.156563,10.173,-0.416
367609,0.0160794,16.675524,14.902987,14.076481,13.611758,13.250024,9.156433,10.414,-0.339
823759,0.0305579,18.53384,16.760565,16.012943,15.726006,15.676152,9.156234,9.983,-0.285
701248,0.0278319,17.12474,15.614912,15.0042095,14.708519,14.5978,9.155784,10.075,0.274
593536,0.0346101,18.654442,16.893503,16.076649,15.668894,15.382911,9.155739,10.266,-0.645
617176,0.0228036,17.053381,15.220495,14.415226,14.030174,13.703219,9.155517,10.596,0.053
546397,0.026295,16.379879,14.720415,14.163784,13.838258,13.740565,9.155263,10.638,0.278
900767,0.03407,17.26037,15.924162,15.315239,14.985848,14.774941,9.155157,10.371,-0.004
768871,0.0468685,16.602411,15.409141,14.894856,14.588523,14.408505,9.1550665,10.729,0.393
732910,0.0290226,16.570696,15.046416,14.41995,14.065263,13.833049,9.155061,10.548,0.721
